scenario,origin,reachable,path_length,visited
normal,pc_aula,True,4.0,136
normal,pc_central_aula,True,4.0,136
normal,admin_pc,True,3.0,15
normal,surveillance,True,2.0,8
seguridad_alta,pc_aula,False,,1
seguridad_alta,pc_central_aula,True,4.0,31
seguridad_alta,admin_pc,True,3.0,15
seguridad_alta,surveillance,True,2.0,8
critico,pc_aula,False,,1
critico,pc_central_aula,False,,2
critico,admin_pc,True,3.0,15
critico,surveillance,True,2.0,8
congestion,pc_aula,True,4.0,142
congestion,pc_central_aula,True,4.0,142
congestion,admin_pc,True,3.0,15
congestion,surveillance,True,2.0,8
